,BTC,ETH,LTC,BCH,TRX,XRP,EOS
205,8347.88,687.06,133.73,1212.36,0.07685,0.6695,13.11
206,7962.43,638.35,127.63,1122.38,0.07244,0.636,11.94
207,7460.66,564.32,116.37,968.43,0.06505,0.5755,10.46
208,7283.77,544.19,115.02,945.77,0.06687,0.5773,10.34
209,7347.96,568.65,117.18,985.4,0.06813,0.5941,11.56
210,7314.71,578.43,117.54,996.19,0.06961,0.598,11.85
211,7256.67,555.2,116.72,978.0,0.0686,0.5982,11.94
212,7092.91,500.81,110.5,872.41,0.05897,0.547,11.3
213,7069.01,510.91,109.9,872.94,0.056429999999999994,0.5447,10.71
214,7295.78,542.08,115.02,949.54,0.05898,0.5831,11.68
215,7349.52,553.42,116.44,972.61,0.05775,0.59,11.82
216,7370.27,564.46,116.9,975.5,0.055760000000000004,0.6047,11.89
217,7467.79,574.36,118.82,992.63,0.057010000000000005,0.6147,12.11
218,7606.76,590.3,122.3,1073.1,0.060160000000000005,0.6381,14.25
219,7469.21,580.07,118.38,1075.25,0.057929999999999995,0.6357,13.25
220,7394.97,576.47,116.31,1047.13,0.05704,0.6337,12.84
221,7504.98,593.1,118.53,1097.58,0.05803,0.6556,13.34
222,7651.13,598.6,119.67,1127.44,0.05856,0.6705,13.67
223,7559.5,592.84,118.45,1087.64,0.056589999999999994,0.6583,13.56
224,7495.72,591.72,117.11,1084.01,0.056979999999999996,0.6559999999999999,13.96
225,6661.98,501.68,103.19,898.76,0.04506,0.5527,10.05
226,6652.89,509.82,103.08,896.73,0.04052,0.5606,10.41
227,6462.61,484.7,97.44,851.06,0.04211,0.5446,9.59
228,6140.63,450.05,89.28,802.28,0.03759,0.5047,9.1
229,6286.23,460.01,92.84,828.39,0.040080000000000005,0.52,9.44
230,6380.69,483.02,94.77,836.66,0.041710000000000004,0.5285,10.36
231,6345.99,483.99,92.78,829.63,0.041389999999999996,0.5188,10.12
232,6446.38,494.01,94.67,843.38,0.0424,0.5226,10.27
233,6401.41,487.72,93.17,824.78,0.041069999999999995,0.507,10.13
234,6672.2,515.02,97.03,874.35,0.04444,0.535,10.45
235,6569.96,517.15,95.4,863.59,0.04543,0.5236,10.2
236,6687.66,521.92,96.05,866.92,0.047310000000000005,0.5305,10.18
237,5941.32,450.04,80.25,720.11,0.04123,0.4701,8.24
238,6033.2,456.24,81.56,732.5,0.04213,0.4752,8.02
239,5782.13,421.01,73.43,662.6,0.038,0.4404,6.9
240,6095.25,445.53,78.73,734.88,0.04088,0.4727,7.71
241,6067.49,429.38,75.38,693.15,0.03801,0.4517,7.34
242,6021.69,419.84,74.97,687.35,0.03745,0.4486,7.26
243,5844.26,417.62,74.07,649.51,0.03612,0.4435,7.3
244,5813.02,405.01,72.53,648.74,0.03461,0.4248,7.04
245,6194.51,435.16,79.03,715.5,0.0373,0.4537,7.75
246,6262.72,444.78,77.75,715.73,0.0368,0.45,7.77
247,5537.86,444.31,78.28,721.67,0.03719,0.4528,7.91
248,6473.48,459.78,84.04,751.49,0.03887,0.4784,8.72
249,6411.13,451.46,83.47,738.61,0.03793,0.4753,8.52
250,6448.23,458.37,81.93,715.54,0.03778,0.4697,8.67
251,6458.14,451.95,80.78,698.9,0.03627,0.4596,8.32
252,6518.23,461.85,79.47,708.87,0.03625,0.4646,8.38
253,6684.15,482.23,81.93,741.06,0.03721,0.475,8.69
254,6625.58,469.0,80.08,726.59,0.03598,0.4711,7.43
255,6277.23,427.82,74.49,685.11,0.03229,0.4392,7.06
256,6293.68,425.13,75.56,683.89,0.03282,0.4404,6.76
257,6084.0,418.02,74.43,662.77,0.0312,0.4246,6.56
258,6131.54,424.97,75.21,685.77,0.03202,0.4306,6.69
259,6190.18,428.31,75.59,687.1,0.03258,0.4326,6.79
260,6245.75,431.45,75.35,698.49,0.033030000000000004,0.4358,6.88
261,6349.83,444.8,77.83,717.45,0.03404,0.4432,7.24
262,6677.56,465.57,81.55,782.93,0.03603,0.4691,7.84
263,7253.71,469.45,85.16,805.66,0.03891,0.4764,8.45
264,7289.9,462.87,85.07,805.62,0.03739,0.4718,8.15
265,7279.34,440.43,81.08,761.02,0.03441,0.4301,7.71
266,7220.37,441.86,79.74,741.83,0.033760000000000005,0.435,7.59
267,7345.25,455.01,81.87,777.13,0.03501,0.4467,7.7
268,7376.66,446.61,81.24,778.82,0.034,0.4421,7.79
269,7692.16,448.32,80.84,770.3,0.032889999999999996,0.4377,7.71
270,8061.07,463.89,84.89,819.12,0.03603,0.4515,8.36
271,7862.67,459.96,82.86,791.51,0.0355,0.4469,8.2
272,7806.25,456.1,81.6,781.59,0.0352,0.4446,8.02
273,8070.04,461.24,82.47,801.05,0.03578,0.4482,8.13
274,8123.53,461.54,83.39,814.07,0.03682,0.4503,8.14
275,7867.44,446.47,79.78,784.54,0.0352,0.4346,7.42
276,7663.7,427.45,76.05,759.83,0.03331,0.4272,7.1
277,7449.31,407.92,75.99,735.12,0.0315,0.4266,6.82
278,7470.86,407.8,75.55,722.8,0.030610000000000002,0.43,6.9
279,7296.76,397.77,74.97,700.81,0.029110000000000004,0.4259,6.84
280,6940.15,401.53,72.31,689.76,0.02835,0.4279,6.88
281,6898.31,400.14,72.4,687.76,0.02815,0.4274,6.89
282,6854.79,401.26,72.47,681.96,0.0287,0.40299999999999997,6.94
283,6685.02,368.69,66.67,646.79,0.027589999999999996,0.375,6.5
284,6133.03,347.7,60.97,565.57,0.0233,0.3199,5.32
285,6195.02,350.97,60.19,577.64,0.02352,0.3282,5.41
286,6025.91,326.48,58.11,558.44,0.0232,0.3128,5.16
287,6014.26,305.34,55.08,538.05,0.02179,0.2882,4.82
288,6176.89,314.31,57.35,555.0,0.02206,0.2948,4.89
289,6157.03,281.06,55.72,522.54,0.018940000000000002,0.2716,4.47
290,5891.87,250.45,49.31,472.68,0.016059999999999998,0.2468,4.18
291,6193.63,276.86,53.96,503.22,0.01853,0.2729,4.56
292,6217.33,278.02,54.15,504.13,0.01885,0.2758,4.42
293,6300.45,285.34,55.14,515.38,0.01923,0.29100000000000004,4.49
294,6322.44,283.02,55.48,536.67,0.02059,0.3133,4.81
295,6330.56,289.09,56.35,541.36,0.02086,0.3185,4.94
296,6248.39,269.16,53.25,509.28,0.01999,0.3136,4.66
297,6259.81,269.76,53.22,510.82,0.019780000000000002,0.3135,4.66
298,6264.34,259.61,53.96,509.47,0.019209999999999998,0.3107,4.5
299,6356.96,268.4,54.94,513.52,0.01945,0.3154,4.67
300,6481.76,270.11,55.63,520.17,0.020419999999999997,0.3153,4.77
301,6684.19,276.75,57.1,528.08,0.02089,0.3222,4.91
302,6588.48,269.57,55.98,515.48,0.0212,0.3185,4.82
303,6674.84,271.88,56.66,520.07,0.022430000000000002,0.3218,4.91
304,6877.2,282.81,59.77,541.04,0.02422,0.3348,5.3
305,6944.76,284.37,60.33,545.4,0.02465,0.3384,5.79
