,BTC,ETH,LTC,BCH,TRX,XRP,EOS
687,11651.76,165100.67,112126.99,54635.5,3618932.67,33217440.23,1263967.18
688,27381.87,390424.27,290079.45,79977.23,6383937.35,58792089.53,1765719.05
689,21680.68,516947.17,363571.0,147598.06,11770469.03,234695409.23,1950391.13
690,21739.97,378063.19,412121.74,149075.98,11204091.86,255952676.44,1847820.53
691,45685.81,561749.78,448768.57,162827.74,9889267.35,235620588.02,2346156.46
692,20930.03,288325.24,268772.59,123223.93,4741321.94,116550567.29,993689.75
693,17868.39,210128.76,173809.69,71177.2,9349900.66,88571750.69,1190281.51
694,17799.44,236737.82,164377.44,74197.44,6925709.77,110634209.1,2242800.05
695,33287.92,312189.34,496376.51,109517.13,11798596.09,130970992.47,1280220.54
696,121811.28,1117533.45,885220.28,421399.6,22547267.12,312831974.01,13299588.68
697,74724.79,504420.24,658177.97,560676.16,19718911.48,159196408.4,5058334.62
698,80375.17,522145.09,640024.17,392725.35,16730560.21,144853088.99,3776096.38
699,48376.65,347441.02,302230.34,242271.33,8583369.87,114418380.42,2713474.3
700,29802.19,221703.79,240576.12,185984.61,6628275.23,55125043.31,1506182.08
701,28053.51,228406.43,229952.83,183071.7,6852504.68,57450622.66,2156344.19
702,50440.1,415679.71,312558.94,178022.91,11490249.81,159236091.08,3149197.12
703,42368.0,359585.36,266632.52,248000.95,10204017.67,118480567.3,3511196.91
704,24785.21,199799.25,143293.41,168936.34,8287400.99,120148758.71,923279.35
705,30435.91,233211.08,241957.76,108691.28,6287255.94,80196442.06,1412895.56
706,26268.19,168089.64,196099.6,80788.15,5550553.44,79277199.49,1527049.78
707,17371.63,122524.41,148739.45,79636.4,6590742.02,87016632.33,1351307.16
708,30026.91,218037.03,247903.57,75894.05,7704421.28,68070151.7,1419409.98
709,39653.14,293720.71,295902.6,173244.24,9826645.21,190752417.6,2834743.23
710,21060.16,199988.01,134350.64,146116.89,9099488.13,110346030.4,1187032.2
711,47097.59,434483.97,240714.53,149921.34,6919608.91,113303123.91,1809623.45
712,29187.08,204616.54,142143.04,151046.18,5818470.79,82762951.98,1181281.28
713,38612.05,399932.58,257499.18,157124.36,10861721.97,74170272.75,1518459.66
714,11037.58,159318.16,77120.52,118772.67,4782238.2,50765383.71,621102.78
715,20190.99,128122.39,113091.15,72734.74,6448224.73,58907929.2,562647.06
716,17507.78,198279.26,95296.42,80234.64,6496620.14,127074462.05,944095.01
717,24899.11,309410.8,273907.56,104562.04,8839894.47,110211411.42,2485548.03
718,34102.92,237905.32,272907.78,124904.93,7278922.03,96400413.48,1413401.5
719,21657.02,191952.66,183063.72,93493.55,6134154.33,127453932.57,619672.68
720,27732.54,243198.81,155804.27,104663.88,10252823.59,109638995.93,2116657.84
721,17875.39,134439.92,102325.86,100071.82,3717631.71,75242895.56,704646.31
722,25287.68,131524.22,137325.64,101766.81,4751990.36,96077254.87,781787.17
723,22831.65,193456.21,148620.38,158396.51,4190431.27,64224995.97,867220.59
724,24453.79,135101.91,120177.66,146144.47,3815358.63,100437481.01,1575911.4
725,60122.39,494894.78,437698.87,220173.74,11054971.94,190951445.56,3180792.19
726,28580.18,246364.46,243002.56,145888.42,5140770.71,85341008.81,1439931.72
727,79777.72,437671.92,627515.25,326024.99,13255646.2,166509084.66,4767737.87
728,154648.62,631015.29,793728.48,538780.81,16343935.19,206656954.23,5215027.28
729,64673.13,232600.82,494774.18,388913.21,24303088.87,106122693.03,3168745.35
730,54907.49,229270.8,392823.33,346454.9,32409319.29,95400546.59,2672273.67
731,40284.46,241328.87,305498.52,466657.08,24057263.16,102703689.15,1770210.48
732,34376.01,255268.88,241867.69,435293.4,13520484.06,87687352.58,1829836.57
733,35891.86,197408.61,218188.81,319945.78,11482744.95,79504954.1,1407412.09
734,27365.39,151765.48,157022.39,233343.55,6216259.83,68250884.75,1173973.52
735,17135.45,89897.28,115598.62,195334.47,5604544.02,64850945.92,885206.07
736,15670.3,79417.68,105754.16,214661.96,3846188.74,58534247.39,869697.15
737,29435.09,158303.16,321960.07,208841.3,6748173.05,70401559.14,2286020.49
738,24971.55,239706.42,276522.93,164545.65,4320925.83,104131104.8,3147633.26
739,22338.76,166660.91,188184.82,219460.96,4566372.26,98867859.87,1832891.33
740,21322.07,145844.78,250263.16,214599.36,3769370.22,177207895.55,1428506.54
741,41674.91,196964.77,315170.51,198481.13,4513808.81,168491371.26,1879476.45
742,13145.33,82251.92,134375.08,63932.54,2962196.62,69815477.81,686342.27
743,18134.09,154278.1,446209.61,111345.51,6289532.51,78298575.7,1840791.75
744,25750.4,115487.06,220063.84,101163.17,4522538.69,82656828.99,1073948.24
745,22305.54,155871.3,177094.43,108097.98,5311611.71,85455784.49,1355931.44
746,15828.57,143371.14,104977.77,86468.16,6509071.91,64518767.09,623814.46
747,18999.7,162623.28,154893.64,139452.97,4354382.37,92608145.87,1004020.55
748,31281.14,284232.18,299032.01,186006.38,6961129.34,104221081.86,2042094.05
749,9355.13,83757.4,125291.11,113147.78,2905845.68,47710450.67,555307.62
750,14296.75,99941.13,122946.72,74368.06,3370695.14,49926174.0,690901.72
751,30048.32,169781.34,294764.69,157001.48,7577646.57,106840990.28,2193027.44
752,24402.6,151275.27,183900.22,178036.71,6550992.34,97573521.1,1152891.61
753,18105.11,131313.82,137825.88,130310.22,3651410.38,80938236.02,645634.66
754,45760.44,359289.33,412474.07,220757.99,10633873.22,111187119.35,2480495.13
755,94065.31,680929.11,762134.47,444494.42,18736269.28,185813170.47,4674382.6
756,25474.86,216440.7,216394.21,208095.62,7481723.28,104644780.26,1114678.11
757,35108.24,238087.93,304646.7,156901.26,5440391.93,117284577.26,2480609.22
758,85742.76,631908.97,593455.39,297084.0,13001142.91,297016355.43,3152882.26
759,36264.64,185988.58,218990.27,84507.39,5873784.27,118932205.11,1194711.67
760,66406.48,355674.35,315010.73,200094.18,8107200.29,135458507.91,2049424.19
761,29886.7,171875.08,141588.33,108837.78,5847224.5,67985599.66,875109.47
762,37243.54,197375.27,191014.5,95321.15,5626547.48,69980880.85,1107436.62
763,24778.5,113477.16,118025.5,93394.18,4263261.79,52300893.74,907356.19
764,30676.77,149149.06,140319.7,90872.67,6325578.44,58235156.12,1544184.31
765,25163.31,117167.03,200288.14,88357.37,4268818.5,81367822.92,1061972.83
766,18521.73,108425.88,162744.83,75793.16,5793723.48,56138894.88,993063.93
767,49046.2,260836.25,334009.75,155072.05,6091418.37,108553020.41,1874115.57
768,30054.36,126050.76,186195.21,163474.21,3881675.0,126576516.54,735385.69
769,28169.83,110635.0,146068.05,96144.21,5351616.54,92453734.21,1035973.48
770,14093.87,73038.39,115659.44,81240.3,4263081.53,64998085.13,429272.51
771,15949.09,104109.18,96410.59,70324.65,4414169.31,70776387.94,480055.75
772,35089.72,130281.43,153422.14,83285.87,7333606.19,81064236.43,788386.9
773,23348.59,122033.82,122092.51,87626.38,12567280.14,73028876.9,1076401.97
774,19799.94,91710.42,96990.31,64914.39,14279645.17,57037009.91,642454.11
775,28003.83,191742.41,118688.11,77108.05,14345882.66,79507173.66,859570.08
776,18725.31,106338.52,95395.13,86637.41,30840067.36,68571987.0,688537.71
777,15624.21,85734.67,74354.21,81902.73,9703159.88,48449499.49,547828.14
778,15972.7,95886.36,71393.48,73348.63,69873566.94,41759859.43,471067.59
779,39619.58,295356.0,288959.36,146961.57,10846514.6,109518309.8,3292605.7
780,46023.51,449252.95,383801.74,227365.08,7859991.6,274108729.38,2421136.47
781,71573.09,525138.77,397729.21,320495.75,5055790.02,241181046.58,3111425.68
782,34799.1,253690.38,190242.26,208668.37,5090893.72,122875529.53,1067029.7
783,23556.25,133346.63,116009.1,105493.31,7697610.22,138926557.03,893132.3
784,12101.12,62926.35,93380.46,78895.1,4745193.77,66563589.03,453342.98
785,27325.26,136277.15,149361.34,76321.76,11198199.7,65542427.52,597418.82
786,44770.93,217566.15,192746.19,119512.76,13793371.02,80945845.82,839997.76
787,27770.75,86512.12,139963.12,109711.78,14899771.2,101805936.23,778640.49
788,15012.21,130884.04,67200.51,97310.94,9915554.57,42888691.42,563082.41
789,23254.3,152466.25,113803.44,93128.44,4041260.84,72161712.25,968482.05
790,25489.38,133762.62,121031.96,218509.64,4519619.73,69771677.7,921314.75
791,14542.71,97511.55,196356.71,225286.91,6039257.98,58678459.75,764734.96
792,18230.94,183376.78,153218.48,145894.55,4606828.59,53402382.74,929984.82
793,23030.92,158939.52,154026.13,165795.79,11083907.65,75095225.19,800976.13
794,19424.26,193527.47,180849.22,166123.01,5397032.24,59409764.05,712733.73
795,11872.0,135866.25,84828.18,135285.65,2975952.89,33554307.84,558913.8
796,26531.32,156461.77,170912.26,136499.94,11616457.92,85781582.84,1296145.92
