,BTC,ETH,LTC,BCH,TRX,XRP,EOS
92,11767.74,1231.58,193.23,1742.54,0.06665,1.36,14.75
93,11233.95,1169.96,180.45,1650.36,0.06446,1.27,13.54
94,10107.26,1063.75,165.38,1462.99,0.05421,1.11,11.35
95,10226.86,1111.31,162.93,1487.18,0.055639999999999995,1.14,11.98
96,9114.72,1026.19,141.37,1267.99,0.046810000000000004,0.9503,10.03
97,8870.82,917.47,131.17,1192.13,0.042010000000000006,0.8989,10.23
98,9251.27,970.87,161.0,1273.08,0.04664,0.9595,10.64
99,8218.05,827.59,147.55,1158.57,0.03872,0.8166,8.89
100,6937.08,695.08,125.04,884.0,0.03032,0.6805,7.06
101,7701.25,785.01,141.85,966.79,0.036239999999999994,0.7619,8.29
102,7592.72,751.81,137.84,954.34,0.03267,0.7157,7.67
103,8260.69,813.55,149.48,1280.55,0.03828,0.7809999999999999,8.31
104,8696.83,877.88,163.9,1299.97,0.0469,0.9201,9.48
105,8569.29,850.75,154.91,1240.62,0.04815,1.03,8.9
106,8084.61,811.24,149.06,1210.99,0.04219,0.9607,8.33
107,8911.27,865.27,161.4,1282.63,0.045810000000000003,1.04,9.13
108,8544.69,840.98,159.05,1220.89,0.04308,0.9866,8.94
109,9485.64,920.11,212.01,1353.18,0.04607,1.13,9.85
110,10033.75,927.95,221.08,1359.47,0.04643,1.11,9.84
111,10188.73,938.02,228.39,1530.44,0.05272999999999999,1.11,9.84
112,11097.21,974.77,229.41,1543.21,0.05492999999999999,1.18,10.02
113,10417.23,913.9,214.22,1453.37,0.0496,1.07,9.06
114,11182.28,939.79,221.97,1521.92,0.05172,1.11,9.49
115,11256.43,885.52,229.38,1393.77,0.04729,1.03,8.88
116,10481.66,840.1,210.26,1287.06,0.04494,0.9512,8.34
117,9847.96,804.63,192.91,1210.0,0.04035,0.8904,7.78
118,10175.51,854.7,206.6,1256.52,0.04319,0.9402,8.26
119,9705.73,833.49,206.35,1182.03,0.04077,0.9009,7.9
120,9610.11,840.28,218.31,1172.58,0.04021,0.9012,7.69
121,10326.5,867.62,218.62,1244.42,0.04187,0.9296,7.99
122,10594.76,871.58,215.15,1234.2,0.04258,0.9276,8.39
123,10334.44,851.5,202.14,1200.33,0.04364,0.8853,8.19
124,10929.37,869.87,209.32,1285.01,0.04872,0.9155,8.55
125,11043.12,855.6,212.59,1276.64,0.05325,0.8983,8.02
126,11465.36,855.65,210.29,1272.26,0.04919,0.8984,7.92
127,11504.42,864.83,213.36,1285.24,0.04819,1.0,8.15
128,11440.73,849.42,210.8,1266.93,0.04673,0.9427,7.95
129,10735.45,815.69,196.58,1207.43,0.0441,0.9013,7.13
130,9928.56,751.13,186.04,1095.91,0.03864,0.8535,6.43
131,9316.72,698.83,175.82,1033.96,0.037110000000000004,0.8053,6.1
132,9252.76,726.92,186.38,1065.69,0.037469999999999996,0.8236,6.02
133,8797.27,682.3,177.3,1003.78,0.035339999999999996,0.775,5.64
134,9544.84,720.36,188.39,1138.84,0.03875,0.8173,6.04
135,9142.15,697.02,177.85,1051.06,0.03662,0.7822,5.72
136,9160.12,689.96,175.47,1053.55,0.03628,0.7777,5.79
137,8217.7,613.15,160.77,950.28,0.031389999999999994,0.6876,5.28
138,8268.41,610.56,164.28,939.68,0.030330000000000003,0.6841,5.12
139,8283.23,600.53,164.95,972.37,0.030430000000000002,0.6779,5.04
140,7883.45,549.79,152.65,948.93,0.02885,0.6278,4.63
141,8215.4,537.38,153.94,936.27,0.02932,0.65,4.62
142,8623.14,555.55,161.51,994.67,0.032760000000000004,0.7203,6.18
143,8920.71,557.57,169.09,1062.82,0.03855,0.6996,5.93
144,8911.35,559.91,168.71,1031.78,0.03727,0.6786,6.9
145,8724.98,539.89,163.93,1015.19,0.03818,0.6523,6.89
146,8934.8,543.83,168.85,1029.74,0.04202,0.6404,6.94
147,8548.06,520.16,159.05,975.94,0.04927,0.629,6.51
148,8472.84,523.01,160.31,975.38,0.04534,0.6341,6.43
149,8152.2,486.25,148.28,913.74,0.044219999999999995,0.5874,5.78
150,7808.48,448.78,134.88,877.69,0.0433,0.5703,5.8
151,7959.78,445.93,131.66,861.18,0.04879,0.5733,6.2
152,7106.62,383.9,114.66,711.13,0.043410000000000004,0.5031,5.88
153,6853.76,393.82,118.49,696.93,0.04136,0.499,6.01
154,6943.77,394.07,116.32,685.47,0.03413,0.5003,5.93
155,6835.84,378.85,115.11,644.25,0.03229,0.4787,5.6
156,7074.6,384.68,119.26,663.98,0.03599,0.4937,5.82
157,7434.3,415.93,134.23,710.13,0.0349,0.5473,6.02
158,6815.5,378.65,118.36,651.52,0.030239999999999996,0.4903,5.67
159,6790.45,381.36,118.76,644.1,0.0393,0.4886,6.33
160,6634.86,370.35,113.18,610.89,0.03671,0.4731,5.84
161,6917.2,384.98,116.2,642.65,0.037239999999999995,0.4847,5.9
162,7049.92,400.72,117.87,657.44,0.0379,0.4973,5.98
163,6789.53,399.02,115.02,638.73,0.03606,0.4862,5.86
164,6871.07,415.65,114.41,652.58,0.03731,0.4909,6.0
165,6977.13,430.42,118.4,670.06,0.03657,0.5399,8.52
166,7927.73,493.95,129.71,737.84,0.04029,0.6416,8.83
167,7899.11,494.96,125.57,743.27,0.0393,0.6424,8.82
168,8022.51,502.79,126.53,739.16,0.04055,0.6401,8.71
169,8376.73,534.15,132.7,782.05,0.04367,0.6935,8.53
170,8079.77,511.67,128.84,769.81,0.04122,0.6638,8.12
171,7921.63,503.03,132.34,759.77,0.042480000000000004,0.6548,8.5
172,8189.96,525.78,140.48,895.45,0.0477,0.7132,9.04
173,8301.82,567.25,146.58,966.63,0.04936,0.7828,9.48
174,8877.08,617.16,155.73,1124.67,0.053989999999999996,0.9229,11.45
175,8935.72,605.17,148.5,1154.45,0.053320000000000006,0.8655,11.14
176,8823.36,621.33,146.67,1195.64,0.052070000000000005,0.862,11.3
177,8968.25,644.13,152.64,1440.95,0.058789999999999995,0.8736,11.62
178,9655.77,703.35,164.69,1407.55,0.07247999999999999,0.9213,15.11
179,8873.62,617.73,144.99,1289.86,0.07003999999999999,0.795,14.46
180,9282.12,661.45,153.22,1421.87,0.07407000000000001,0.8463,15.44
181,8938.47,643.33,145.87,1331.97,0.07338,0.8057,16.61
182,9351.47,683.02,151.96,1390.64,0.0819,0.8616,18.78
183,9407.04,689.31,153.43,1440.09,0.08836000000000001,0.8682,21.41
184,9248.45,670.04,148.27,1348.27,0.09296,0.8313,17.46
185,9077.28,670.81,147.99,1354.28,0.0923,0.8340000000000001,18.74
186,9232.19,686.74,151.21,1457.08,0.09135,0.8587,19.23
187,9745.04,777.62,161.22,1507.36,0.08703999999999999,0.8802,17.67
188,9699.61,784.21,168.73,1513.29,0.086,0.8889,17.05
189,9845.9,816.58,178.16,1758.59,0.08719,0.9004,17.77
190,9644.92,790.39,171.66,1756.57,0.08452,0.8629,17.39
191,9377.81,752.4,164.23,1651.39,0.08261,0.8266,17.8
192,9196.13,747.79,159.04,1599.52,0.08246,0.8065,17.96
193,9321.16,751.27,156.78,1626.63,0.08026,0.7957,17.79
194,9032.22,723.61,148.24,1519.84,0.07285,0.7485,17.32
195,8421.0,677.8,136.47,1367.01,0.06437999999999999,0.6779999999999999,14.82
196,8486.67,683.64,141.82,1458.55,0.06688999999999999,0.6836,13.95
197,8709.46,729.34,144.41,1478.75,0.07397999999999999,0.7285,14.59
198,8672.9,727.41,147.39,1412.97,0.07076,0.7272,13.8
199,8480.16,705.64,139.56,1337.53,0.06748,0.6905,12.8
200,8344.78,706.72,139.32,1280.11,0.07113,0.708,12.67
201,8071.04,668.38,132.63,1192.88,0.06622,0.6592,12.23
202,8247.91,693.57,136.19,1203.32,0.06882,0.6762,12.91
203,8249.24,696.05,135.14,1177.02,0.06875,0.6747,13.12
204,8533.0,715.15,139.58,1291.59,0.07697999999999999,0.6985,13.95
205,8419.65,696.73,134.28,1229.05,0.08109,0.6756,13.43
206,7992.75,640.84,128.13,1135.15,0.07322000000000001,0.6384,12.11
207,7505.77,577.01,118.7,994.37,0.06805,0.591,10.67
208,7584.74,602.59,122.88,1073.9,0.07235,0.6293,12.75
209,7475.36,584.77,119.07,1016.45,0.07044,0.6057,12.18
