close,high,low,open,volumefrom,volumeto
0.9201,0.928,0.7407,0.781,254208548.97,216317336.77
1.03,1.23,0.9058,0.9201,556443223.11,581681815.44
0.9607,1.04,0.8925,1.03,279928791.85,270280545.61
1.04,1.08,0.9574,0.9607,202105878.89,208832351.89
0.9866,1.05,0.965,1.04,116762831.78,116730650.44
1.13,1.15,0.9807,0.9866,200006530.01,213096441.42
1.11,1.14,1.07,1.13,159487401.71,177079070.26
1.11,1.12,1.07,1.11,84492699.95,92551967.39
1.18,1.2,1.1,1.11,121915274.55,140771185.12
1.07,1.18,1.04,1.18,122591574.17,134960579.49
1.11,1.13,1.07,1.07,54217189.34,60167206.76
1.03,1.13,1.01,1.11,98718946.43,106414418.77
0.9512,1.04,0.9389,1.03,132539261.86,130894818.35
0.8904,0.9999,0.8637,0.9512,141837708.92,130321052.81
0.9402,0.9829,0.8529,0.8904,113311756.75,105300019.39
0.9009,0.967,0.8709,0.9402,69734771.36,63672682.67
0.9012,0.9242,0.8787,0.9009,46878406.95,42176648.42
0.9296,0.9433,0.8756,0.9014,65494897.69,59943198.22
0.9276,0.9579,0.9177,0.9296,51167792.83,48040025.71
0.8853,0.9467,0.8817,0.9276,52904670.26,48326696.0
0.9155,0.9481,0.8754,0.8857,58173902.29,53144795.5
0.8983,0.9211,0.8869,0.9155,34280826.12,30896737.31
0.8984,0.9206,0.8914,0.8983,44851912.56,40559528.23
1.0,1.03,0.8847,0.8984,129805721.93,124105558.43
0.9427,1.09,0.9422,1.0,238320901.89,242874367.84
0.9013,0.9791,0.889,0.9427,149999365.4,139373840.45
0.8535,0.913,0.7885,0.9013,165235657.07,141658375.58
0.8053,0.8716,0.7947,0.8535,91001508.64,76018604.9
0.8236,0.8415,0.7325,0.8053,162595799.43,127177630.95
0.775,0.8412,0.7691,0.8236,63122926.67,50954013.63
0.8173,0.8301,0.7501,0.775,78005790.31,62035424.74
0.7822,0.8282,0.7653,0.8173,61409880.09,49013833.94
0.7777,0.7991,0.7605,0.7822,47210414.4,36680378.24
0.6876,0.7918,0.6556,0.7777,104390475.16,74718642.59
0.6841,0.7238,0.6293,0.6876,136951873.14,91947096.68
0.6779,0.7091,0.6597,0.6841,85024266.24,58577029.72
0.6278,0.6829,0.6148,0.6779,73368387.57,47574680.44
0.65,0.6822,0.5386,0.6278,207086714.76,123397502.13
0.7203,0.7249,0.6275,0.65,157478330.07,105733514.73
0.6996,0.7203,0.6576,0.7203,138393811.13,95865093.49
0.6786,0.7085,0.6621,0.6996,92683253.78,63760058.35
0.6523,0.6902,0.622,0.6786,83593624.11,54532400.06
0.6404,0.6535,0.6139,0.6523,68753613.29,43174298.47
0.629,0.6776,0.6279,0.6404,61275780.76,39874599.35
0.6341,0.6541,0.623,0.6291,44521955.38,28270263.67
0.5874,0.6377,0.5754,0.6341,95218085.79,57143800.89
0.5703,0.6018,0.5579,0.5874,75571751.28,43752083.89
0.5733,0.5886,0.5651,0.5703,40895296.13,23514791.73
0.5031,0.5745,0.4975,0.5733,129763987.43,68842916.04
0.499,0.5257,0.4715,0.5031,145672467.31,71841509.56
0.5003,0.5219,0.4929,0.4989,66323170.81,33649410.94
0.4787,0.5078,0.4552,0.5003,81295552.25,39051078.63
0.4937,0.5034,0.4719,0.4787,57281704.71,27904801.96
0.5473,0.5531,0.4919,0.4937,107732072.54,56654630.6
0.4903,0.5523,0.4861,0.5473,92286238.18,46939972.89
0.4886,0.4975,0.475,0.4903,68257090.93,33139253.04
0.4731,0.4947,0.4592,0.4886,54812084.92,25925305.31
0.4847,0.4962,0.4713,0.4731,48098726.29,23441856.27
0.4973,0.5012,0.4841,0.4847,33668598.44,16618055.41
0.4862,0.5114,0.4749,0.4973,59241002.25,29080366.2
0.4909,0.4935,0.4778,0.4862,30110659.14,14635880.04
0.5399,0.5558,0.4858,0.4909,73902307.36,38211367.13
0.6416,0.6627,0.5029,0.5401,262214977.55,149987432.79
